time,data
0,-4.048832736e-08
2.083333333e-05,-4.243464602e-08
4.166666667e-05,-4.436766332e-08
6.25e-05,-4.622662786e-08
8.333333333e-05,-4.810875964e-08
0.0001041666667,-5.002162951e-08
0.000125,-5.197926356e-08
0.0001458333333,-5.397668801e-08
0.0001666666667,-5.591650165e-08
0.0001875,-5.782553814e-08
0.0002083333333,-5.963720184e-08
0.0002291666667,-6.143796583e-08
0.00025,-6.322063939e-08
0.0002708333333,-6.499416827e-08
0.0002916666667,-6.674065389e-08
0.0003125,-6.834645916e-08
0.0003333333333,-6.983370326e-08
0.0003541666667,-7.110449474e-08
0.000375,-7.224874565e-08
0.0003958333333,-7.323255602e-08
0.0004166666667,-7.407126645e-08
0.0004375,-7.473907715e-08
0.0004583333333,-7.511926725e-08
0.0004791666667,-7.523698997e-08
0.0005,-7.498456256e-08
0.0005208333333,-7.44682751e-08
0.0005416666667,-7.366235621e-08
0.0005625,-7.261375856e-08
0.0005833333333,-7.131506408e-08
0.0006041666667,-6.966454436e-08
0.000625,-6.769108296e-08
0.0006458333333,-6.527860563e-08
0.0006666666667,-6.254735041e-08
0.0006875,-5.947168802e-08
0.0007083333333,-5.612960408e-08
0.0007291666667,-5.250991109e-08
0.00075,-4.850633673e-08
0.0007708333333,-4.413395516e-08
0.0007916666667,-3.924787251e-08
0.0008125,-3.400199233e-08
0.0008333333333,-2.837257362e-08
0.0008541666667,-2.250275877e-08
0.000875,-1.63877889e-08
0.0008958333333,-9.939195245e-09
0.0009166666667,-3.172680341e-09
0.0009375,4.051496028e-09
0.0009583333333,1.153798568e-08
0.0009791666667,1.926860627e-08
0.001,2.706877567e-08
0.001020833333,3.492477063e-08
0.001041666667,4.296517275e-08
0.0010625,5.118158697e-08
0.001083333333,5.974893469e-08
0.001104166667,6.844104661e-08
0.001125,7.723914308e-08
0.001145833333,8.593286793e-08
0.001166666667,9.454484484e-08
0.0011875,1.031857195e-07
0.001208333333,1.118915733e-07
0.001229166667,1.207796743e-07
0.00125,1.29611152e-07
0.001270833333,1.383022266e-07
0.001291666667,1.466222983e-07
0.0013125,1.545824517e-07
0.001333333333,1.623036212e-07
0.001354166667,1.698060288e-07
0.001375,1.772371547e-07
0.001395833333,1.843040849e-07
0.001416666667,1.909959195e-07
0.0014375,1.970400376e-07
0.001458333333,2.025428927e-07
0.001479166667,2.07600138e-07
0.0015,2.122919227e-07
0.001520833333,2.167390818e-07
0.001541666667,2.206886194e-07
0.0015625,2.240945349e-07
0.001583333333,2.267223067e-07
0.001604166667,2.286096787e-07
0.001625,2.298788218e-07
0.001645833333,2.305343969e-07
0.001666666667,2.307453286e-07
0.0016875,2.302142974e-07
0.001708333333,2.289730219e-07
0.001729166667,2.267268968e-07
0.00175,2.236023136e-07
0.001770833333,2.196489817e-07
0.001791666667,2.150082139e-07
0.0018125,2.098264105e-07
0.001833333333,2.039530784e-07
0.001854166667,1.973934047e-07
0.001875,1.899193762e-07
0.001895833333,1.815832036e-07
0.001916666667,1.724963568e-07
0.0019375,1.627350628e-07
0.001958333333,1.525730937e-07
0.001979166667,1.417589175e-07
0.002,1.303901769e-07
0.002020833333,1.180705098e-07
0.002041666667,1.049236786e-07
0.0020625,9.097093567e-08
0.002083333333,7.644413103e-08
0.002104166667,6.160227883e-08
0.002125,4.635512596e-08
0.002145833333,3.070122645e-08
0.002166666667,1.437657815e-08
0.0021875,-2.615371919e-09
0.002208333333,-2.004666655e-08
0.002229166667,-3.773864066e-08
0.00225,-5.524511693e-08
0.002270833333,-7.277223091e-08
0.002291666667,-9.026368986e-08
0.0023125,-1.081708518e-07
0.002333333333,-1.263956761e-07
0.002354166667,-1.448576512e-07
0.002375,-1.631807862e-07
0.002395833333,-1.810919628e-07
0.002416666667,-1.986367408e-07
0.0024375,-2.159671624e-07
0.002458333333,-2.333799216e-07
0.002479166667,-2.508883483e-07
0.0025,-2.681839533e-07
0.002520833333,-2.849725433e-07
0.002541666667,-3.007599219e-07
0.0025625,-3.157710466e-07
0.002583333333,-3.299578282e-07
0.002604166667,-3.438269118e-07
0.002625,-3.571865363e-07
0.002645833333,-3.699377942e-07
0.002666666667,-3.816405751e-07
0.0026875,-3.920536642e-07
0.002708333333,-4.01273212e-07
0.002729166667,-4.095101644e-07
0.00275,-4.170672696e-07
0.002770833333,-4.240207545e-07
0.002791666667,-4.300379715e-07
0.0028125,-4.349567462e-07
0.002833333333,-4.382782208e-07
0.002854166667,-4.402980096e-07
0.002875,-4.409291705e-07
0.002895833333,-4.406532526e-07
0.002916666667,-4.393032498e-07
0.0029375,-4.368260136e-07
0.002958333333,-4.328431089e-07
0.002979166667,-4.271608418e-07
0.003,-4.197950432e-07
0.003020833333,-4.109793963e-07
0.003041666667,-4.009729082e-07
0.0030625,-3.900290437e-07
0.003083333333,-3.779343274e-07
0.003104166667,-3.64692994e-07
0.003125,-3.498183503e-07
0.003145833333,-3.336106431e-07
0.003166666667,-3.159464939e-07
0.0031875,-2.974423694e-07
0.003208333333,-2.780583088e-07
0.003229166667,-2.579287752e-07
0.00325,-2.366992362e-07
0.003270833333,-2.140973407e-07
0.003291666667,-1.900427122e-07
0.0033125,-1.647476182e-07
0.003333333333,-1.385695754e-07
0.003354166667,-1.120003219e-07
0.003375,-8.485044845e-08
0.003395833333,-5.724109542e-08
0.003416666667,-2.84703372e-08
0.0034375,1.092259394e-09
0.003458333333,3.15203259e-08
0.003479166667,6.195313063e-08
0.0035,9.217325925e-08
0.003520833333,1.219978429e-07
0.003541666667,1.518113493e-07
0.0035625,1.819984305e-07
0.003583333333,2.127180068e-07
0.003604166667,2.435762667e-07
0.003625,2.741464868e-07
0.003645833333,3.037568206e-07
0.003666666667,3.327177467e-07
0.0036875,3.610169017e-07
0.003708333333,3.895160603e-07
0.003729166667,4.178029656e-07
0.00375,4.458796354e-07
0.003770833333,4.726653913e-07
0.003791666667,4.979582968e-07
0.0038125,5.215387091e-07
0.003833333333,5.438976132e-07
0.003854166667,5.654175652e-07
0.003875,5.861591603e-07
0.003895833333,6.056668553e-07
0.003916666667,6.234637908e-07
0.0039375,6.389171858e-07
0.003958333333,6.52517997e-07
0.003979166667,6.642210337e-07
0.004,6.750744888e-07
0.004020833333,6.84545455e-07
0.004041666667,6.928366361e-07
0.0040625,6.989014878e-07
0.004083333333,7.027123274e-07
0.004104166667,7.040770811e-07
0.004125,7.034655027e-07
0.004145833333,7.012041578e-07
0.004166666667,6.973780842e-07
0.0041875,6.916195048e-07
0.004208333333,6.835820159e-07
0.004229166667,6.726714332e-07
0.00425,6.593454032e-07
0.004270833333,6.43451358e-07
0.004291666667,6.261449244e-07
0.0043125,6.069508345e-07
0.004333333333,5.865202297e-07
0.004354166667,5.638225957e-07
0.004375,5.390930369e-07
0.004395833333,5.119586604e-07
0.004416666667,4.829442446e-07
0.0044375,4.52551518e-07
0.004458333333,4.210273232e-07
0.004479166667,3.883852742e-07
0.0045,3.542239142e-07
0.004520833333,3.178654708e-07
0.004541666667,2.796427054e-07
0.0045625,2.392188776e-07
0.004583333333,1.981488964e-07
0.004604166667,1.559947407e-07
0.004625,1.138158225e-07
0.004645833333,7.039301408e-08
0.004666666667,2.591695214e-08
0.0046875,-2.009648625e-08
0.004708333333,-6.695230326e-08
0.004729166667,-1.137818586e-07
0.00475,-1.5999683e-07
0.004770833333,-2.054392212e-07
0.004791666667,-2.506170347e-07
0.0048125,-2.963922157e-07
0.004833333333,-3.424984811e-07
0.004854166667,-3.891488518e-07
0.004875,-4.344915965e-07
0.004895833333,-4.789545187e-07
0.004916666667,-5.213807981e-07
0.0049375,-5.634739182e-07
0.004958333333,-6.049844501e-07
0.004979166667,-6.466395917e-07
